,text,target
0,said ,2
1,ve ad ,4
2,did not mean take ,2
3,realli aggress blast obnoxi face have littl ,0
4,realli big bad ,0
5,serious pay did not have realli onli bad fli ,0
6,yes near fli vx ear not go away ,4
7,realli miss prime parodi ,2
8,well did not now do ,4
9,was amaz arriv earli re too good ,4
10,did know is second lead ,2
11,so much better minim ,4
12,is such great alreadi think nd australia have not even gone yet ,4
13,fli fabul seduct again take away ,4
14,sfo is still mia ,0
15,so excit first cross mco ve great ,4
16,sfo last not fulli sit due larg help ,0
17,am fli ,4
18,know be amaz awesom fll want fli onli ,4
19,are first over more other are avail select ,0
20,love graphic ,4
21,love are feel good ,4
22,be make bos non stop perman anytim soon ,2
23,mess reserv seat guy gave away want free ,0
24,appli been call email ,0
25,happen ur vegan least say ur so know not be abl next ,0
26,do miss do not worri ll be togeth veri soon ,2
27,amaz not get cold vx noair worstflightev roast ,0
28,ewr middl red such noob ,2
29,just bked cool not add elev enter middl ,0
30,are are post onlin current ,2
31,left expens lax answer amp lax ,0
32,await just prefer use ,0
33,is great start hawaii ,4
34,nice touchdown moodlitmonday ,2
35,is onli fli best ever cool calm ,4
36,done done best ,4
37,hawaii ,2
38,is not work ,0
39,angel ,4
40,first excit have hard get ad ,0
41,help win ,2
42,have unus move new do not fli fli expir ,2
43,are leav ,2
44,good rock ,4
45,just blew ,4
46,last soundofmus ladygaga think ,2
47,ladygaga were entertain ,2
48,is was suppos take still show not ,2
49,ladygaga andrew was veri impress carrieunderwood ,4
50,flew soon ,2
51,ladygaga andrew ,2
52,be leav februari ,2
53,so excit dal been tri last amp never load ,0
54,know need ,4
55,ladygaga is amaz ,4
56,ladygaga ,2
57,new let know think ,2
58,ladygaga first ladi last ,2
59,call ago ad still have not shown ,0
60,ladygaga are great have go ,2
61,ladygaga mari had first ,2
62,ladygaga love realli not beat ,4
63,dca tri check not ,2
64,been tri get call pleas ,0
65,are there earlier nyc earlier ,0
66,win best ,4
67,was fine lost ,0
68,chang have virgin do need modifi waiv do onlin ,2
69,email let know need ,2
70,just book add baggag do ,2
71,is awesom lax loft step dirti ,0
72,not worri been great new great be ,4
73,awesom flew yall sat correct ,4
74,watch best ,2
75,first fli do have differ ,2
76,is go is there anyway speak human ,0
77,happen doom ,2
78,not supp have ,0
79,appli more then onc be interest flightattend ,4
80,re best begrudg use other delay late ,0
81,have interest fli cancel next plan ,0
82,was disappoint be share ,0
83,have ad book ,0
84,not bring use book code ,2
85,random bet has disproportion ,2
86,fli am tri chang help va not let ,2
87,is be back ,0
88,rnp know ,2
89,did not get most recent do add ,2
90,interest just disappoint cancel flightl other went jfk ,0
91,just land been here late is not friend nomorevirgin ,0
92,is redirect ,2
93,is is websit btw new is not great user ,0
94,not check add is not work tri ,0
95,scan leav told remov st uncomfort ,0
96,is not find call about ,0
