,negative,neutral,positive
aaliyah,2.5,0.0,0.0
aan,2.5,0.0,0.0
abandon,12.5,0.0,0.0
abba,0.0,2.5,0.0
abbrevi,3.321928094887363,0.0,3.321928094887363
abdul,2.5,0.0,0.0
abhorr,5.0,0.0,0.0
abid,2.5,0.0,0.0
abject,2.5,0.0,0.0
abl,12.62925313651334,1.142777130968,0.6769924925288455
abli,10.318851158516171,1.4306765580733931,0.0
aborb,0.0,2.5,0.0
aborigin,2.5,0.0,0.0
abort,2.5,0.0,0.0
aboul,0.0,2.5,0.0
abound,2.5,0.0,0.0
about,6.14525046121494,1.5150322905906413,0.9727354664740451
abov,4.507575551943847,1.4306765580733931,1.4306765580733931
abraham,2.5,0.0,0.0
abras,2.5,0.0,0.0
abridg,2.5,0.0,0.0
abroad,5.0,0.0,0.0
abrupt,3.321928094887363,3.321928094887363,0.0
absent,2.5,0.0,0.0
absolut,6.552643539533589,1.36538574583393,1.0479516371446924
absorb,5.159425579258086,1.8088351765837412,0.9116518111250529
abstract,10.318851158516171,1.0,1.0
absurd,8.003922779651097,1.285097208938469,0.9266284080291269
absurdist,2.095903274289385,2.095903274289385,2.095903274289385
abund,10.318851158516171,0.0,1.4306765580733931
abus,2.5,0.0,0.0
abysm,5.0,0.0,0.0
academ,5.0,0.0,0.0
academi,7.5,0.0,0.0
acceler,0.0,2.5,0.0
accent,0.0,0.0,2.5
accentu,2.5,0.0,0.0
accept,40.0,0.0,0.0
access,3.054750901711627,1.8815421796317378,1.5913711273047662
accident,5.0,0.0,0.0
acclaim,3.321928094887363,0.0,3.321928094887363
accommod,2.5,0.0,0.0
accomod,2.5,0.0,0.0
accompani,12.62925313651334,1.285097208938469,0.0
accomplish,4.376763563241703,2.576123340966972,0.0
accord,8.003922779651097,0.0,1.6609640474436815
account,0.0,2.5,0.0
accumul,3.321928094887363,0.0,3.321928094887363
accur,10.318851158516171,1.0,1.0
accus,7.5,0.0,0.0
acerb,5.0,0.0,0.0
ach,21.854345326782823,1.0,0.0
achiev,7.0093046768582425,1.25647079736603,1.0859900449548405
achiv,2.5,0.0,0.0
achronolog,5.0,0.0,0.0
acid,2.095903274289385,2.095903274289385,2.095903274289385
acknowledg,5.678873587267573,2.095903274289385,0.0
acquaint,5.0,0.0,0.0
acquir,10.0,0.0,0.0
acrid,2.5,0.0,0.0
across,0.0,0.0,2.5
act,6.417854859081337,1.3594365086874183,1.0759410770890674
activ,2.5,0.0,0.0
actor,3.321928094887363,0.0,3.321928094887363
actori,2.5,0.0,0.0
actorish,2.5,0.0,0.0
actress,0.0,2.5,0.0
actual,8.491836866513607,1.1073093649624544,1.0539101632849572
acut,5.678873587267573,0.0,2.095903274289385
ad,9.162168319362612,1.530895350152348,0.0
adam,13.783470770180712,1.2301433994512887,0.0
adapt,6.8433137786230045,1.1832946624549385,1.1832946624549385
add,5.211440485380426,1.4947531601505835,1.1832946624549385
addessi,0.0,2.5,0.0
addict,7.5,0.0,0.0
addit,0.0,2.5,0.0
address,12.62925313651334,1.285097208938469,0.0
adept,3.321928094887363,0.0,3.321928094887363
adequ,21.854345326782823,1.0,0.0
adher,5.0,0.0,0.0
adject,2.5,0.0,0.0
adjust,2.5,0.0,0.0
admir,5.484253907264837,1.560115808209267,1.061562050124335
admit,35.67768601461792,0.8304820237218408,0.0
adobo,0.0,2.5,0.0
adolesc,10.318851158516171,1.4306765580733931,0.0
adopt,7.5,0.0,0.0
ador,8.003922779651097,1.1073093649624544,1.1073093649624544
adorn,3.321928094887363,3.321928094887363,0.0
adren,2.5,0.0,0.0
adrenalin,2.5,0.0,0.0
adrian,5.678873587267573,2.095903274289385,0.0
adrien,2.5,0.0,0.0
adroit,1.4306765580733931,2.51294159473206,2.51294159473206
adult,2.095903274289385,2.095903274289385,2.095903274289385
advanc,4.507575551943847,1.4306765580733931,1.4306765580733931
adventur,11.474446170085354,0.9602525677891276,0.9602525677891276
advertis,10.0,0.0,0.0
advis,10.318851158516171,1.4306765580733931,0.0
aerial,2.5,0.0,0.0
aesthet,10.318851158516171,1.4306765580733931,0.0
affabl,8.003922779651097,0.0,1.6609640474436815
affect,6.34486149433979,1.1304460323285856,1.316364786255445
affection,10.0,0.0,0.0
affirm,31.070680064188018,0.8725028695491561,0.0
affleck,5.0,0.0,0.0
afflict,3.321928094887363,3.321928094887363,0.0
affluenc,2.5,0.0,0.0
affluent,2.5,0.0,0.0
afford,8.003922779651097,1.6609640474436815,0.0
affront,0.0,2.5,0.0
afghan,5.0,0.0,0.0
afloat,8.003922779651097,1.6609640474436815,0.0
afraid,19.549378059091087,1.0479516371446924,0.0
afresh,0.0,2.5,0.0
